minimum_nights,calculated_host_listings_count,availability_365,neighbourhood_group,room_type,price
1,12,256,1,0,110
5,7,178,2,1,228
4,5,7,1,0,45
2,7,0,2,0,66
1,5,252,2,0,40
1,34,365,0,2,38
1,6,170,0,0,57
3,12,360,2,2,30
1,17,89,0,2,28
2,8,358,0,2,40
2,327,255,1,1,498
4,8,285,3,0,33
1,9,358,2,0,50
5,5,355,0,0,85
1,6,290,1,0,100
2,7,57,2,0,140
2,6,230,2,1,120
5,5,365,4,0,65
1,7,90,1,2,45
1,6,0,0,1,68
2,6,320,2,1,79
1,15,285,0,0,55
1,15,304,1,0,300
1,5,312,1,1,189
1,5,355,2,0,60
2,5,4,0,0,50
1,9,189,2,0,80
3,5,329,0,0,36
1,5,236,1,0,100
3,12,0,1,1,339
1,5,358,2,0,149
2,10,342,0,2,20
14,5,286,0,1,68
1,5,351,0,2,45
8,5,280,0,0,44
2,8,177,0,0,53
2,13,266,1,1,672
2,5,88,0,1,60
1,9,285,2,0,55
1,6,252,2,1,89
5,6,83,0,0,68
1,5,183,2,0,70
1,5,38,2,0,50
1,11,0,0,0,45
1,8,189,0,0,95
2,327,242,1,1,470
3,9,359,2,0,69
1,34,346,0,2,35
1,5,229,4,0,62
3,12,0,1,1,269
3,10,337,4,1,168
2,5,125,2,0,57
2,327,237,1,1,255
2,6,254,2,0,25
2,34,312,0,0,49
1,33,179,1,1,225
2,6,196,0,0,68
2,327,254,1,1,451
2,327,298,1,1,188
3,8,282,1,0,90
2,6,66,2,0,45
1,9,324,1,0,100
3,8,341,1,0,57
2,7,330,0,0,65
1,8,164,2,0,34
2,327,81,1,1,308
14,28,321,1,2,35
2,5,191,0,0,49
1,5,317,1,0,260
2,327,331,1,1,220
6,7,187,0,0,63
2,5,56,1,1,325
5,5,365,4,0,85
1,6,211,0,2,40
2,5,319,1,1,210
1,11,28,0,0,40
2,5,211,0,0,90
3,5,249,0,1,530
1,11,7,0,0,45
3,9,72,0,1,199
2,13,242,1,1,260
3,28,81,0,1,199
1,8,362,4,2,28
1,7,360,4,0,70
2,6,365,0,2,25
1,8,351,2,2,25
1,7,160,2,1,175
2,6,365,2,2,30
1,10,247,1,0,209
7,8,324,1,0,52
4,9,17,1,0,69
3,5,76,0,0,45
2,5,197,1,0,113
1,7,68,2,1,175
1,6,0,0,0,38
1,8,199,1,2,65
2,7,349,0,0,60
3,12,365,1,0,1599
1,12,68,0,0,52
2,6,340,3,0,36
5,9,89,0,0,80
1,5,0,1,0,99
1,8,346,2,2,24
1,5,365,0,1,150
1,7,331,1,0,100
5,5,271,1,0,60
2,5,232,0,0,58
1,6,365,1,1,1075
1,5,80,2,2,38
2,6,199,0,1,248
1,8,0,0,0,40
2,26,318,0,0,36
1,17,355,0,0,119
1,9,275,1,0,100
5,8,43,1,1,229
1,5,310,2,0,37
3,5,0,0,0,40
1,10,106,2,0,55
2,327,341,1,1,194
4,5,0,4,0,63
1,8,311,0,0,75
3,49,235,1,1,737
1,30,156,1,0,107
1,17,218,1,1,137
1,5,162,2,0,55
2,7,316,0,0,110
1,33,365,0,0,119
2,7,71,0,0,72
7,13,323,1,0,169
1,9,347,1,2,69
2,5,32,0,1,249
3,5,365,4,0,45
3,8,305,0,0,33
1,6,172,1,2,75
1,8,332,2,2,24
1,10,359,1,0,55
1,9,281,2,0,58
1,6,364,0,1,450
1,6,3,0,0,38
1,20,358,1,0,129
2,327,293,1,1,256
3,5,83,0,1,210
1,9,311,1,0,100
1,7,33,1,2,99
1,8,319,2,0,90
1,5,89,2,0,60
15,28,184,1,0,91
3,28,60,0,0,249
1,7,365,1,2,77
2,6,299,3,0,35
2,327,258,1,1,244
1,5,317,1,1,396
1,11,42,0,0,45
2,6,336,2,1,79
5,5,67,0,0,40
1,7,348,1,0,100
1,34,365,0,2,39
1,5,222,0,0,90
2,327,285,1,1,230
3,7,169,4,1,98
3,5,107,1,1,209
3,13,71,0,1,129
1,7,42,0,0,55
1,10,115,1,0,86
1,8,27,0,0,54
3,9,29,1,0,95
3,6,158,0,0,78
2,327,336,1,1,203
1,7,45,0,0,55
3,5,301,0,2,35
3,6,359,1,0,65
1,5,185,1,0,150
1,13,290,0,0,85
2,6,354,2,0,77
2,5,193,0,0,95
1,9,319,1,0,100
3,47,238,1,0,50
2,34,289,0,0,65
1,47,361,1,0,65
3,8,343,0,1,90
3,13,90,0,0,45
1,5,306,1,1,229
2,5,355,3,0,79
1,6,40,1,0,90
1,6,0,1,1,1100
1,5,0,1,0,95
2,10,360,0,0,75
2,327,341,1,1,229
2,327,341,1,1,412
1,11,178,1,0,329
2,6,36,2,1,69
1,7,364,1,0,339
2,327,333,1,1,214
1,7,57,2,0,55
2,13,258,1,1,240
3,12,0,1,1,339
4,6,197,3,0,33
3,5,313,1,1,285
1,8,0,1,0,109
2,327,279,1,1,218
1,5,349,1,0,358
1,11,179,1,0,700
1,12,23,1,1,1306
1,5,315,1,0,99
1,6,7,0,0,38
1,6,364,2,0,55
15,11,199,0,0,45
7,47,318,1,0,99
1,7,276,1,0,100
1,10,341,2,1,299
1,15,307,0,0,55
2,327,350,1,1,227
1,5,334,1,0,999
1,18,362,2,0,165
2,6,164,0,0,81
1,7,225,1,2,75
1,6,216,2,0,25
2,5,282,2,0,34
5,5,128,2,0,69
5,7,365,2,2,29
4,6,230,3,1,289
2,13,263,1,0,198
2,8,344,0,0,65
2,327,312,1,1,214
2,327,333,1,1,221
2,10,359,0,0,67
6,5,299,2,0,42
9,12,0,0,2,18
4,7,365,2,2,30
2,7,66,0,0,69
1,8,76,2,0,60
2,327,331,1,1,229
1,5,352,0,2,35
1,15,336,1,0,100
2,5,333,2,0,45
2,327,280,1,0,375
3,28,60,0,0,349
2,5,0,2,0,37
5,5,90,2,2,35
2,327,337,1,1,229
5,5,219,1,0,1500
2,327,234,1,1,472
1,9,150,1,0,85
1,5,247,1,1,121
2,5,0,0,2,41
1,8,288,2,0,50
2,8,346,2,2,25
1,5,0,1,0,80
3,5,0,0,0,50
1,5,46,2,0,60
1,8,351,4,2,28
1,5,0,0,0,58
1,12,360,1,0,85
3,5,365,0,1,99
2,327,340,1,1,234
1,11,365,0,1,4500
2,11,207,1,0,233
2,5,351,4,0,62
1,10,33,0,0,39
1,8,72,1,1,89
2,327,330,1,1,404
7,47,357,1,0,55
3,5,0,0,0,98
1,8,364,0,0,160
2,6,360,3,0,36
1,5,50,0,1,90
1,6,339,1,1,215
3,5,0,0,0,110
1,7,169,0,0,48
1,5,162,0,0,35
2,327,319,1,1,230
1,7,177,0,0,60
1,8,89,1,0,249
1,5,123,2,0,98
1,7,313,2,0,70
1,5,170,1,0,86
1,33,180,0,0,89
2,13,283,1,1,220
2,5,180,2,0,59
2,8,362,0,0,65
1,5,321,1,0,120
3,12,365,1,0,799
3,5,349,1,0,59
1,34,365,0,2,38
2,43,222,0,0,47
1,17,364,0,0,119
1,5,73,2,0,90
1,8,363,4,2,28
3,7,23,2,1,160
1,6,32,1,0,70
1,7,163,2,0,75
4,12,365,1,0,799
2,5,107,2,1,78
1,13,339,0,0,65
4,34,309,0,1,265
2,327,297,1,1,230
3,6,129,1,0,110
2,327,133,1,1,228
2,11,217,1,0,191
1,9,299,1,0,199
3,5,294,1,1,200
3,8,326,1,1,449
2,7,37,3,2,75
3,12,365,1,0,799
1,6,123,1,1,170
15,28,185,1,0,94
1,5,309,1,0,179
1,6,365,2,0,65
3,5,361,0,0,98
2,7,168,0,0,77
2,6,0,0,1,400
1,5,226,2,0,45
2,327,299,1,1,245
1,6,344,0,2,37
1,10,245,1,0,129
1,15,349,1,0,100
1,7,136,0,0,130
2,5,361,4,1,250
1,6,365,1,1,1999
3,12,365,1,0,799
1,9,309,2,0,80
1,12,365,2,0,89
2,6,150,0,0,81
1,17,89,0,2,35
1,8,321,2,0,89
1,11,365,0,0,179
1,15,321,0,0,60
2,327,261,1,1,242
1,7,0,0,2,50
1,17,78,0,2,21
2,13,286,1,1,220
1,8,0,1,1,310
2,327,349,1,1,228
3,49,204,1,1,699
1,30,363,1,0,199
1,9,336,2,0,60
1,5,338,1,1,235
7,13,260,0,0,35
3,13,53,0,0,137
14,28,320,1,2,35
1,5,323,2,0,99
1,5,63,0,1,90
1,6,365,1,2,75
2,6,356,2,2,40
1,5,0,2,0,60
1,8,89,4,2,60
5,5,343,4,0,85
1,6,0,0,1,50
1,6,75,2,0,55
2,5,361,0,0,95
1,10,158,0,0,39
2,6,308,0,0,75
2,327,340,1,1,235
2,327,347,1,1,236
15,14,0,0,0,50
1,7,342,1,1,299
2,8,102,0,0,61
1,12,48,0,0,49
2,327,295,1,1,185
3,10,358,2,0,70
2,5,70,0,1,50
2,327,350,1,1,228
6,8,346,1,0,45
1,6,6,0,0,38
1,6,138,2,0,80
3,5,267,0,0,70
4,5,365,0,0,130
1,5,1,0,0,28
7,6,0,1,0,90
2,13,324,1,0,252
5,5,308,0,0,67
7,5,333,0,1,155
1,11,365,0,0,259
2,5,311,2,0,40
3,5,351,2,1,396
3,6,365,1,0,145
1,5,262,0,1,159
2,8,254,0,0,49
4,8,290,3,0,34
1,7,361,1,0,100
2,5,1,4,0,42
1,15,83,0,1,60
2,7,37,3,0,50
1,6,290,1,0,225
2,327,263,1,1,247
2,34,308,0,0,49
1,5,208,0,0,32
1,11,22,0,0,45
2,327,111,1,1,228
2,6,304,0,0,110
1,15,345,0,0,65
4,49,80,1,1,956
2,6,336,2,1,119
2,6,250,0,0,125
1,7,23,1,0,60
1,5,235,0,0,48
1,5,134,0,0,30
1,6,167,1,2,75
6,8,358,2,0,50
1,6,356,0,0,100
1,9,351,2,0,59
1,5,299,1,0,390
2,6,342,2,0,75
1,7,357,0,0,45
1,10,106,2,0,85
2,8,226,0,0,49
1,20,359,1,0,149
2,13,283,1,1,220
1,5,23,1,2,95
1,30,363,1,0,299
2,10,363,0,0,40
1,17,85,0,2,33
1,6,169,1,2,90
1,5,0,0,0,45
1,7,320,1,0,100
1,6,23,0,2,25
5,5,349,0,0,38
4,8,316,3,0,33
3,6,364,0,0,50
2,6,89,0,0,115
1,10,363,1,0,500
2,327,325,1,1,196
2,13,358,4,1,299
1,5,30,2,0,55
2,327,140,1,1,243
1,6,365,1,1,750
2,327,340,1,1,240
1,30,365,1,0,299
1,9,365,1,2,85
1,5,171,2,0,55
2,327,268,1,1,214
1,8,189,0,0,525
2,6,305,1,0,75
1,13,351,1,0,100
2,6,58,2,0,39
1,9,342,2,0,50
1,5,64,0,0,40
1,6,351,2,0,60
2,5,318,0,0,45
2,11,180,1,0,69
1,11,364,1,0,65
1,18,365,2,0,135
1,6,40,1,1,96
1,10,288,1,0,230
2,5,76,1,0,130
1,7,163,2,0,85
3,28,60,0,0,599
15,12,80,1,0,75
2,13,268,1,1,672
1,5,180,0,0,60
3,28,60,0,1,199
1,10,350,1,0,50
1,13,324,0,0,60
1,7,300,1,0,100
7,47,326,1,0,65
1,7,266,1,0,100
4,6,0,1,0,45
2,327,355,1,1,228
4,7,359,3,0,30
14,28,322,1,2,35
1,26,365,0,0,50
3,28,60,0,0,299
1,15,314,0,0,61
1,17,267,1,1,120
1,6,280,1,0,116
1,8,352,0,0,65
1,33,365,0,1,199
1,30,175,1,0,179
1,6,31,1,0,99
5,12,0,0,0,35
5,6,216,2,0,45
2,34,330,0,0,55
7,9,365,0,0,80
1,8,241,0,0,54
1,9,346,2,0,89
5,5,308,2,0,70
3,28,47,0,1,199
1,8,365,4,2,28
7,5,169,2,0,60
3,8,338,0,0,62
1,9,301,2,0,58
1,6,365,1,1,820
1,7,70,0,0,59
1,30,359,1,0,199
4,6,113,0,0,72
1,5,309,1,0,82
1,6,170,0,0,45
2,9,365,1,0,69
1,10,200,1,0,794
1,12,63,0,0,64
2,327,323,1,1,432
1,14,361,1,0,475
3,28,60,0,1,199
1,9,324,1,0,100
5,5,326,0,0,60
4,7,365,2,2,30
2,5,29,0,2,25
1,5,0,1,0,51
2,327,153,1,1,243
1,6,7,0,0,49
1,6,0,0,1,70
5,5,333,0,1,151
1,6,365,2,2,37
1,9,283,1,0,249
2,6,351,1,0,500
6,7,343,2,1,150
1,8,189,0,0,85
1,12,45,1,1,6419
1,5,40,1,1,180
2,7,58,0,0,67
1,5,332,0,0,70
3,7,109,0,0,100
2,327,297,1,1,454
1,12,321,1,0,85
2,6,260,0,0,40
9,12,0,0,2,28
2,5,262,0,0,65
3,8,180,4,0,39
7,13,198,0,0,40
1,8,346,2,0,90
1,7,161,2,0,55
2,6,120,0,2,19
1,10,23,1,0,119
3,13,365,0,0,54
1,5,364,1,1,175
1,5,0,1,0,110
1,8,0,1,0,124
1,13,364,4,1,115
1,7,296,1,0,100
1,12,0,0,1,1494
13,8,14,0,0,51
1,12,51,0,0,63
1,9,275,1,0,100
1,5,0,1,0,119
1,26,342,0,0,50
1,5,365,0,2,50
12,12,0,0,2,30
1,5,66,0,0,29
2,327,58,1,1,300
2,327,331,1,1,231
7,13,239,0,0,38
3,5,113,0,1,85
5,8,365,0,2,30
5,12,141,2,0,60
1,34,365,0,2,36
1,8,179,0,0,50
1,9,360,2,0,40
7,13,258,0,0,38
2,327,292,1,1,250
1,5,89,2,0,35
1,6,85,2,0,70
1,5,301,1,1,219
2,327,338,1,1,229
1,5,90,2,0,64
4,7,299,1,0,55
3,5,86,0,0,70
2,327,327,1,0,204
15,12,125,1,0,83
1,11,148,0,0,42
3,5,17,1,0,79
3,13,72,0,1,205
1,20,168,1,0,99
7,13,247,0,0,40
1,33,364,1,1,225
3,10,89,4,0,55
3,6,150,0,1,110
1,7,350,0,0,60
2,5,167,0,0,45
4,6,178,3,0,29
1,9,287,1,1,460
1,5,300,2,0,65
1,8,315,1,1,650
3,5,254,0,0,159
1,7,363,1,0,324
6,5,0,1,0,100
1,6,320,1,1,199
1,20,365,1,0,199
1,15,188,0,0,45
1,6,345,0,2,35
1,15,328,1,0,100
7,5,365,2,1,265
1,7,351,1,0,77
1,10,338,1,1,240
1,9,279,2,0,54
1,11,240,1,0,155
1,7,0,2,0,59
1,8,0,1,0,159
2,7,312,3,2,150
6,5,288,2,0,58
2,327,318,1,1,194
1,6,164,0,0,57
7,47,354,1,0,55
1,5,158,0,0,58
1,6,0,2,0,70
3,28,60,0,1,199
2,10,365,2,0,43
2,5,365,2,0,70
1,5,290,1,0,370
3,49,204,1,1,699
3,9,355,2,0,89
1,11,364,1,0,65
2,5,0,1,0,100
2,10,355,2,0,51
6,5,279,2,0,58
2,5,0,0,1,58
1,5,283,0,0,65
2,7,70,2,1,150
1,5,161,1,0,109
1,5,0,1,0,99
1,14,365,1,0,350
1,34,365,0,2,39
1,7,352,1,1,249
2,327,329,1,1,229
1,5,1,1,1,209
2,5,168,0,0,58
7,47,356,1,0,65
1,30,141,1,0,107
1,6,333,2,1,99
7,6,343,0,2,25
1,15,236,0,0,45
1,5,297,2,1,169
1,12,102,0,0,72
4,7,281,1,1,150
1,5,48,0,1,104
1,14,357,1,0,425
3,47,297,1,1,650
3,5,363,0,1,155
3,9,348,2,0,69
1,8,140,0,0,55
4,9,87,0,1,459
3,7,226,0,1,165
7,47,352,1,0,99
7,47,337,1,0,62
1,12,355,1,0,85
2,7,147,0,0,77
2,327,272,1,1,245
1,7,249,1,1,250
3,49,230,1,1,737
2,5,90,2,2,48
1,5,0,2,1,220
1,6,350,0,2,40
15,14,0,0,2,35
3,6,365,1,0,115
1,7,90,1,2,60
1,5,292,1,0,159
1,5,338,2,0,48
5,5,129,0,0,77
3,28,84,0,1,199
1,7,253,2,0,100
1,5,0,2,0,59
1,5,359,2,0,59
2,8,58,4,0,39
1,6,323,1,1,225
2,10,350,0,0,40
2,5,342,0,1,250
2,5,355,3,0,79
1,12,194,1,0,115
1,5,65,2,0,69
4,5,228,1,1,99
15,14,0,0,0,75
3,6,133,1,0,100
3,5,265,1,1,250
1,30,365,1,0,199
3,49,153,1,1,737
2,5,359,0,0,65
2,327,279,1,1,398
3,10,315,4,1,223
2,327,318,1,1,196
1,5,90,2,0,65
2,5,337,0,0,87
2,5,365,2,1,1000
5,7,308,0,0,70
2,327,348,1,1,229
1,8,365,0,0,149
1,8,181,1,2,99
2,8,348,0,0,65
3,7,3,0,1,160
2,6,187,2,0,99
1,8,236,0,0,129
1,7,328,1,0,180
1,8,352,2,0,37
2,5,360,2,0,60
1,7,51,1,0,200
1,8,192,1,2,69
2,5,157,2,0,39
2,327,294,1,1,407
2,6,180,2,0,46
1,6,153,2,0,80
4,6,16,0,2,25
1,5,70,0,0,54
1,18,355,2,0,135
3,5,169,1,0,74
1,6,23,1,2,69
4,7,303,0,0,65
3,5,365,4,0,40
1,7,365,2,2,60
2,5,44,1,0,110
1,15,313,0,0,65
1,6,174,0,0,79
1,20,359,1,0,159
3,7,24,2,1,130
1,5,359,0,1,399
3,13,74,0,0,149
1,14,53,0,1,500
1,9,287,1,1,690
1,17,89,0,2,27
4,7,312,3,0,32
1,8,177,0,1,166
2,7,312,3,1,100
15,11,325,0,0,40
2,7,35,2,0,200
2,8,175,4,0,39
1,7,89,1,2,55
2,6,352,2,2,26
3,28,60,0,1,199
2,327,353,1,1,228
2,327,76,1,1,316
1,7,179,2,0,56
1,6,364,1,0,2010
3,8,316,1,1,370
2,10,322,0,0,44
1,5,361,1,2,75
5,7,314,1,0,58
2,6,144,0,1,110
1,6,205,0,0,55
1,7,55,1,0,87
2,5,144,2,1,134
1,7,365,0,2,38
4,6,140,1,0,99
1,6,146,1,0,70
5,6,140,0,0,72
1,13,313,0,0,70
2,34,282,0,0,65
1,8,71,1,1,89
1,5,359,2,0,59
2,327,343,1,1,234
5,6,15,1,0,50
1,33,179,1,1,225
1,5,245,1,0,64
2,327,292,1,1,256
3,7,20,0,0,86
2,5,150,2,0,37
1,6,256,0,0,90
2,5,88,2,0,58
4,6,36,0,0,37
1,8,305,2,1,48
1,10,362,1,0,300
2,13,272,1,1,500
3,9,8,1,0,95
1,5,328,0,0,50
15,14,0,0,0,75
2,5,350,0,1,137
2,5,183,4,0,65
2,7,122,2,0,80
1,7,61,0,0,44
7,13,344,1,0,169
14,28,320,1,2,35
1,5,188,1,1,374
1,13,281,0,0,55
1,7,225,1,2,75
1,5,255,0,1,129
1,6,345,0,2,45
1,8,357,2,2,28
1,5,0,0,0,1600
14,28,322,1,2,35
2,327,314,1,1,247
2,5,346,2,0,50
1,9,339,1,1,299
3,34,361,0,2,36
2,5,46,0,1,249
3,12,365,1,0,599
2,327,323,1,1,240
2,327,255,1,1,468
1,9,315,1,0,100
7,47,354,1,0,150
1,5,358,2,0,89
1,17,362,0,0,129
1,5,62,0,0,50
1,6,308,2,2,23
5,7,140,0,0,71
1,17,215,1,1,208
1,13,343,1,0,100
1,11,330,1,1,140
1,11,88,0,0,42
1,7,332,4,1,155
1,7,50,1,0,300
2,13,329,1,0,198
2,34,344,0,0,43
1,10,218,0,0,39
7,47,310,1,0,70
5,5,24,0,1,190
1,6,180,1,0,70
1,5,364,1,1,300
1,5,262,2,0,80
2,7,61,2,1,159
1,5,161,2,0,32
3,12,365,1,0,999
2,10,361,0,0,50
1,8,179,0,0,58
1,7,47,2,0,60
1,8,81,1,0,209
1,7,27,0,0,112
2,8,32,0,2,20
1,15,305,0,0,60
3,9,72,0,1,87
1,6,365,2,0,99
7,12,0,0,2,20
1,17,208,1,1,107
1,5,90,0,0,295
3,7,330,0,0,75
4,8,42,1,0,45
1,6,360,0,0,49
1,5,180,4,0,60
1,7,230,1,0,100
1,8,333,2,0,119
2,5,0,0,0,60
1,7,61,0,0,42
1,5,335,0,0,38
3,28,60,0,0,249
4,5,299,0,1,190
1,18,365,2,0,135
1,18,180,2,0,135
1,17,224,1,1,131
1,7,16,0,0,85
7,6,185,0,0,98
2,6,364,0,0,35
3,8,258,1,0,90
2,327,232,1,1,247
1,6,362,1,2,75
7,7,365,2,1,198
4,6,152,3,1,72
2,11,152,1,1,505
2,8,343,0,2,40
1,7,2,3,2,29
1,7,351,1,0,304
3,9,343,2,0,99
1,8,162,2,0,40
3,28,84,0,1,199
1,8,128,2,0,60
3,5,357,0,0,67
15,11,331,0,0,45
2,13,327,1,0,252
2,6,341,3,0,37
1,5,278,2,0,49
2,5,365,2,0,875
1,5,0,0,0,48
2,5,299,0,2,40
1,5,175,2,0,45
1,10,352,2,0,99
1,6,138,0,0,55
2,13,365,4,1,105
4,6,120,0,0,72
1,11,362,0,0,279
3,5,365,0,0,89
1,7,319,0,0,75
1,6,364,1,1,6800
11,6,95,1,0,55
2,6,173,1,1,500
5,7,154,1,0,55
2,13,285,1,0,378
7,47,365,1,0,75
3,9,30,1,0,69
1,5,345,0,0,30
2,5,266,1,1,199
3,6,90,1,0,85
2,5,39,1,1,595
2,7,349,4,0,75
15,14,0,0,2,35
1,12,359,1,0,85
1,6,170,0,0,69
1,17,84,0,2,30
2,6,364,1,1,2000
1,30,169,1,0,107
15,11,330,0,0,60
2,327,357,1,1,230
1,11,363,0,0,199
2,7,177,4,0,39
2,327,332,1,0,258
3,10,322,0,0,45
2,7,177,4,0,38
7,8,309,2,0,49
3,13,365,0,0,45
3,6,0,1,0,85
2,5,338,4,0,80
3,8,137,0,0,39
1,10,32,0,0,39
1,5,324,0,0,100
1,7,67,1,0,325
1,6,365,0,0,99
1,6,155,0,0,43
1,8,273,2,0,50
1,5,19,2,0,80
1,7,71,4,2,28
1,5,35,2,0,49
2,327,289,1,1,463
3,9,50,1,0,80
1,7,0,1,0,285
2,6,320,3,0,37
1,6,207,0,2,39
2,13,333,1,0,198
4,6,147,3,1,65
1,10,363,1,0,350
1,5,351,2,0,59
7,9,365,0,0,65
1,17,364,0,0,139
1,5,23,1,2,95
1,11,16,0,0,56
3,6,180,0,0,40
2,327,289,1,1,396
1,30,347,1,0,199
2,327,237,1,1,470
2,7,170,0,0,77
1,10,314,1,0,146
2,327,343,1,1,214
1,8,0,0,0,40
1,7,248,0,0,62
1,6,355,2,0,49
1,17,361,0,0,129
2,7,177,4,0,39
1,10,364,1,0,64
7,6,321,0,2,25
1,7,59,0,0,102
2,7,10,2,1,128
3,34,361,0,2,36
1,10,345,1,0,350
2,6,341,2,0,65
2,7,165,0,0,77
7,47,329,1,0,80
2,7,167,4,1,128
1,8,198,1,2,65
1,5,273,0,0,39
1,33,365,0,0,119
1,17,338,0,0,129
1,5,342,3,1,190
1,18,365,2,0,135
1,8,88,1,0,209
4,49,124,1,1,956
2,327,105,1,1,240
3,8,361,0,0,62
1,8,88,4,2,28
1,10,348,2,0,79
1,11,305,1,0,255
1,5,339,1,1,199
2,9,109,1,2,49
2,5,156,2,0,53
3,6,169,1,2,65
3,5,0,0,0,59
15,5,356,2,0,50
3,5,236,2,2,35
1,5,329,1,0,999
2,327,133,1,1,244
1,6,180,0,0,149
14,28,321,1,2,35
1,5,102,1,1,165
15,14,0,0,0,45
2,327,313,1,1,215
3,6,364,1,0,120
7,12,171,2,0,50
7,13,358,1,0,169
2,5,186,0,0,65
3,8,326,1,1,419
1,18,365,2,0,135
3,7,16,2,1,170
14,28,342,1,2,32
2,327,340,1,1,229
1,5,110,2,1,145
1,33,365,0,0,119
2,8,218,0,0,59
1,33,179,1,1,179
1,9,360,2,0,75
2,327,113,1,1,262
15,28,185,1,0,73
1,5,23,2,0,50
1,30,363,1,0,179
1,5,238,1,0,158
2,327,265,1,1,495
1,7,325,1,0,100
3,5,365,0,0,69
1,5,189,0,0,48
7,12,152,2,0,60
1,6,173,0,0,55
8,6,270,1,0,47
1,5,345,0,0,110
2,6,344,2,2,39
1,5,365,4,0,50
3,49,204,1,1,699
1,5,0,1,0,99
1,7,4,2,0,42
1,6,325,0,0,75
1,5,334,1,1,140
1,20,365,1,0,219
2,7,325,0,0,85
3,7,96,0,0,80
5,8,332,1,0,54
1,10,252,1,0,230
6,6,230,1,0,399
1,13,357,4,1,250
1,7,83,1,2,45
2,8,87,0,0,60
1,12,55,0,0,51
1,5,267,1,0,199
1,11,363,0,0,239
1,5,307,1,0,150
1,6,179,0,0,50
1,5,168,2,0,55
1,9,337,2,0,85
2,10,0,0,2,30
1,5,29,2,0,45
1,12,362,1,0,85
1,6,342,0,1,282
4,8,338,3,0,35
1,17,89,0,2,24
7,9,172,0,0,40
1,30,166,1,0,199
1,6,359,2,0,60
2,10,365,0,0,45
5,9,323,1,0,180
3,6,57,0,0,30
2,6,347,0,0,130
2,327,294,1,1,248
4,8,0,1,1,299
1,11,179,1,0,375
1,5,48,4,0,142
3,10,69,4,0,79
1,5,365,1,0,99
1,5,364,2,0,225
1,5,358,1,0,99
1,7,38,0,0,68
3,5,347,0,1,350
1,33,180,0,0,119
2,327,352,1,0,200
7,5,148,2,0,65
1,9,273,2,0,35
1,5,315,1,0,58
1,13,293,0,0,60
1,5,224,1,0,118
1,9,362,2,0,80
1,6,365,0,0,89
2,5,86,2,1,125
4,7,337,3,0,30
1,5,125,0,0,74
1,6,258,2,0,25
1,5,365,0,0,120
1,8,325,1,1,309
2,17,85,0,2,30
1,9,353,2,0,95
2,6,173,1,1,400
1,5,365,1,2,75
2,13,276,1,1,260
2,327,346,1,1,229
3,8,339,1,1,389
1,9,134,0,1,139
2,6,287,0,0,65
2,5,211,0,0,95
1,6,24,1,2,69
1,33,179,0,0,119
6,11,299,2,1,60
3,5,0,0,0,60
1,5,179,4,0,60
7,13,351,1,0,169
1,6,299,1,0,100
1,6,365,1,2,75
1,15,296,1,0,100
15,11,354,0,0,40
1,33,365,0,0,119
7,47,318,1,0,156
1,7,256,1,0,100
1,6,152,0,0,43
2,5,355,3,0,69
3,7,195,2,0,64
1,7,0,2,0,49
3,6,50,2,0,60
1,5,357,1,0,120
14,12,86,1,1,266
1,5,100,2,0,55
1,15,343,0,0,55
1,12,31,0,1,2626
1,5,126,1,0,98
3,5,365,0,0,79
1,6,362,2,0,60
1,8,0,0,0,45
1,5,22,1,2,80
1,26,249,0,0,45
5,5,149,0,0,68
1,5,281,1,0,149
1,11,365,0,0,319
3,13,74,0,1,129
4,5,274,0,0,195
3,12,351,2,2,30
1,11,364,1,0,65
1,6,151,0,0,75
3,5,275,0,1,285
1,7,360,1,0,100
1,17,337,0,0,139
3,5,305,0,0,100
2,13,292,1,1,260
1,5,85,2,0,35
1,6,365,1,2,75
7,13,247,0,0,35
2,6,364,2,0,43
1,30,133,1,0,199
2,327,348,1,0,264
3,5,212,2,0,38
1,7,258,0,0,49
1,33,364,1,1,179
1,8,175,2,0,34
1,9,298,1,0,249
2,327,331,1,1,214
1,10,342,1,0,197
1,30,334,1,0,199
3,13,74,0,1,199
1,5,318,1,0,125
14,28,320,1,2,35
1,6,283,1,0,145
1,5,244,1,0,209
1,13,364,1,0,100
2,6,356,2,0,65
3,6,88,1,0,80
4,7,365,2,2,30
1,7,63,1,0,91
2,327,310,1,1,404
14,28,341,1,2,32
7,47,338,1,0,120
1,7,294,1,0,100
1,5,359,0,0,45
2,327,271,1,1,248
1,7,32,0,0,105
7,12,160,2,0,50
3,13,74,0,1,189
1,6,126,2,0,75
2,7,286,3,0,40
1,9,324,1,0,100
1,6,321,2,0,84
4,5,89,2,0,55
1,10,347,1,0,45
1,5,344,2,0,55
1,7,365,1,2,79
2,327,272,1,1,247
1,12,14,0,1,1680
1,7,343,0,0,49
2,5,173,2,0,40
1,6,365,2,2,45
2,5,31,0,2,32
10,5,153,0,0,50
5,5,0,1,0,60
1,5,347,2,0,54
2,13,364,4,0,75
2,5,235,2,0,58
4,7,68,3,2,30
1,5,30,1,0,99
6,5,219,1,0,2000
1,8,240,2,1,261
2,10,343,0,0,65
1,9,317,1,0,100
1,12,20,0,1,2103
1,10,298,0,0,55
2,5,125,0,0,50
1,7,81,2,1,95
1,11,363,0,0,438
1,10,161,1,0,43
1,10,360,2,0,99
2,5,47,0,0,68
