minimum_nights,calculated_host_listings_count,availability_365,neighbourhood_group,room_type,price
1,5,89,2,1,225
5,5,82,1,1,300
4,6,119,1,0,105
1,5,166,0,0,48
1,33,179,1,1,225
2,8,268,0,0,52
7,9,365,0,0,80
1,5,158,0,0,70
1,20,359,1,0,129
7,47,332,1,0,120
1,14,355,1,0,450
2,7,76,0,0,74
7,13,365,1,0,169
6,8,318,2,0,45
1,5,365,0,1,140
2,5,365,1,0,78
1,33,180,0,2,119
3,5,270,1,0,69
1,5,113,0,1,460
1,7,96,2,0,79
1,9,283,2,0,45
1,5,274,1,0,100
2,5,222,0,0,57
1,26,250,0,0,45
1,13,353,1,0,100
1,8,205,1,2,69
1,11,364,1,0,399
1,8,81,1,0,249
1,7,59,2,0,50
1,5,292,1,0,82
2,7,294,0,0,49
3,12,0,1,1,339
1,8,3,1,1,89
3,9,103,1,1,175
14,5,281,2,0,45
1,7,7,0,0,55
1,9,361,2,2,30
1,17,89,0,2,35
1,17,226,1,1,153
5,6,238,2,0,45
1,15,349,1,0,100
2,327,333,1,1,234
2,8,270,0,1,155
1,34,365,0,2,36
1,20,360,1,0,159
3,9,74,0,1,129
4,7,346,3,0,35
1,7,262,1,0,100
2,8,321,0,0,65
1,8,296,2,0,45
1,5,173,2,0,60
3,13,90,0,0,37
2,6,306,2,0,40
3,6,256,2,1,1500
2,8,279,2,0,40
2,5,312,4,1,142
3,6,232,2,1,140
1,5,158,0,0,31
1,10,151,1,0,129
1,20,351,1,0,149
3,13,90,0,0,85
1,5,175,2,0,45
1,8,84,2,0,50
1,14,245,1,0,400
1,11,364,1,0,69
1,14,343,1,0,475
3,8,229,1,1,399
1,6,184,1,0,70
1,6,103,0,0,69
1,5,342,0,2,45
6,8,275,2,1,187
10,12,0,0,2,25
1,8,332,2,0,55
1,15,359,1,0,300
1,7,322,0,0,75
2,5,188,0,0,55
1,6,294,1,0,100
2,6,50,0,0,62
1,5,79,2,0,48
1,9,300,2,0,58
1,20,365,1,0,199
3,5,40,0,0,69
3,5,347,0,0,60
1,5,318,1,0,80
1,6,0,0,1,52
2,7,330,0,1,150
3,49,216,1,1,737
1,8,351,2,2,25
5,6,12,1,0,49
2,5,201,0,0,75
7,6,22,1,0,70
1,6,365,2,2,37
1,17,364,0,0,129
7,5,297,2,0,42
2,5,29,0,0,49
2,6,176,0,0,50
6,8,324,1,0,43
1,8,0,0,0,40
1,5,199,0,0,70
1,13,318,4,2,45
1,9,118,0,1,139
2,13,315,1,1,220
2,6,0,1,0,90
1,6,180,0,2,79
3,8,329,0,0,39
1,8,360,0,0,53
2,6,358,1,1,195
2,10,326,0,0,55
1,6,336,2,0,65
2,8,349,0,0,65
2,5,211,0,0,90
1,7,358,2,0,35
1,6,345,0,0,130
1,5,168,0,0,30
2,327,323,1,1,230
1,9,302,1,1,650
1,10,300,1,1,393
3,7,341,0,0,80
1,5,365,0,1,250
1,7,331,2,0,42
2,6,318,0,0,33
15,14,0,0,0,35
1,5,77,0,0,53
1,5,164,1,0,90
1,30,364,1,0,179
2,9,10,1,2,65
7,10,281,0,2,20
2,10,353,0,0,40
2,7,349,4,0,90
